ID	Gmina	day	month	year	reported_time	localisation	species	weight
1	KRAKOW	1	1	2019	12:56	Śliwiaka	birds	5
2	KRAKOW	1	1	2019	13:07	Tischnera	dog	25
3	KRAKOW	1	1	2019	18:20	29 red foxtopada	red fox	13
4	KRAKOW	2	1	2019	7:22	Bora-Komorowskiego	domestic cat	7
5	KRAKOW	2	1	2019	10:58	Winnicka	wild boar	8
6	KRAKOW	3	1	2019	20:38	Jaremy 23-25	domestic cat	1
7	KRAKOW	4	1	2019	21:38	Na Zakolu wisły	birds	3
8	KRAKOW	4	1	2019	22:38	Jana Pawła II	roe deer	26
9	KRAKOW	5	1	2019	19:06	Nowohucka	red fox	5
10	KRAKOW	7	1	2019	10:05	Żołnierska	birds	5
11	KRAKOW	7	1	2019	11:43	Ogrodnicza 5A	domestic cat	5
12	KRAKOW	7	1	2019	13:36	Krowoderska 55-57	domestic cat	5
13	KRAKOW	8	1	2019	3:13	Podbipiety	wild boar	9
14	KRAKOW	8	1	2019	18:24	Winnicka	dog	10
15	KRAKOW	9	1	2019	7:16	Białopradnicka 21	domestic cat	
16	KRAKOW	10	1	2019	6:31	Jasnogorska	roe deer	30
17	KRAKOW	10	1	2019	8:09	Tyniecka  151	roe deer	31
18	KRAKOW	10	1	2019	17:05	Kościelnicka 1A-1B	roe deer	
19	KRAKOW	11	1	2019	16:35	Strażacka 31C	roe deer	27
20	KRAKOW	12	1	2019	6:50	Igolomska 98	domestic cat	3
21	KRAKOW	13	1	2019	11:30	Nowolipki	birds	1
22	KRAKOW	14	1	2019	6:42	Rączna 66B	domestic cat	5
23	KRAKOW	14	1	2019	13:23	Szkolne 30	domestic cat	5
24	KRAKOW	14	1	2019	21:35	Kocmyrzowska	dog	29
25	KRAKOW	16	1	2019	17:15	Św. Sebastiana 17	domestic cat	5
26	KRAKOW	16	1	2019	23:12	Opolska	red fox	10
27	KRAKOW	17	1	2019	5:44	Ks. Józefa 253	domestic cat	5
28	KRAKOW	17	1	2019	20:06	Stolarza 11	domestic cat	3
29	KRAKOW	18	1	2019	10:05	Siarczanogórska 26D	domestic cat	7
30	KRAKOW	19	1	2019	10:17	Słowackiego/Kamienna	domestic cat	2
31	KRAKOW	19	1	2019	19:44	Rydlówka 34	domestic cat	3
32	KRAKOW	20	1	2019	18:48	Al. Powstańców Ślaskich	birds	5
33	KRAKOW	21	1	2019	9:28	Łokietka	domestic cat	5
34	KRAKOW	21	1	2019	12:21	Białoprądnicka 29	domestic cat	5
35	KRAKOW	22	1	2019	9:54	Mała Góra/Bieżanowska	domestic cat	3
36	KRAKOW	22	1	2019	15:29	Pułłanki	red fox	7
37	KRAKOW	25	1	2019	8:22	Jana Pawła II/Centrum D 8	domestic cat	
38	KRAKOW	26	1	2019	7:38	Taklińskiego	red fox	8
39	KRAKOW	26	1	2019	11:31	Jasnogórska/Ojcowska	roe deer	22
40	KRAKOW	26	1	2019	15:50	Myslenicka	birds	10
41	KRAKOW	26	1	2019	18:50	Tyniecka  151	wild boar	52
42	KRAKOW	27	1	2019	6:54	Śliwiaka	roe deer	26
43	KRAKOW	27	1	2019	19:38	Fredry	domestic cat	2
44	KRAKOW	28	1	2019	2:54	Rondo Barei/Polsadu	domestic cat	3
45	KRAKOW	28	1	2019	20:00	Poznańska 43A	domestic cat	3
46	KRAKOW	29	1	2019	7:44	Igolomska 98	dog	
47	KRAKOW	29	1	2019	18:29	Bernardyńska 8	domestic cat	3
48	KRAKOW	29	1	2019	20:22	Mackiewicza 3A	birds	1
49	KRAKOW	30	1	2019	7:06	Wielicka/wolska	red fox	
50	KRAKOW	30	1	2019	9:05	Ks. Józefa 253	domestic cat	
51	KRAKOW	30	1	2019	12:16	Podbipiety 72	wild boar	50
52	KRAKOW	30	1	2019	15:37	Łokietka	roe deer	
53	KRAKOW	30	1	2019	16:06	Heila 12	dog	
54	KRAKOW	31	1	2019	7:24	Dozynkowa 81	roe deer	
55	KRAKOW	31	1	2019	8:17	Cegielniana 17-19	domestic cat	
57	KRAKOW	31	1	2019	20:35	Norymberska	hare	
83	KRAKOW	1	2	2019	7:16	Puszkarska	red fox	7
84	KRAKOW	1	2	2019	11:06	Stelmachów/Jordanowska	wild boar	15
85	KRAKOW	1	2	2019	11:12	Ptaszyckiego	red fox	0
86	KRAKOW	2	1	2019	11:13	Bulwarowa 	domestic cat	2
87	KRAKOW	2	1	2019	12:45	Nad Fosą 15	wild boar	1
88	KRAKOW	3	1	2019	11:45	Winnicka	roe deer	25
89	KRAKOW	4	2	2019	16:41	Dozynkowa 140	roe deer	
90	KRAKOW	4	2	2019	17:41	Kocmyrzowska 43	red fox	
91	KRAKOW	5	2	2019	18:09	Dobrego Pasterza przy kościele	domestic cat	
92	KRAKOW	6	2	2019	8:26	Norymberska	roe deer	12
93	KRAKOW	6	2	2019	12:13	Gaik	red fox	
94	KRAKOW	6	2	2019	12:24	Dobrego Pasterza	domestic cat	5
95	KRAKOW	6	2	2019	19:01	Kamieńskiego	domestic cat	2
96	KRAKOW	6	2	2019	22:35	Sdomestic catnicka	dog	7
97	KRAKOW	7	2	2019	7:34	Dunajewskiego	domestic cat	
98	KRAKOW	7	2	2019	9:47	Al.. Pokoju	domestic cat	3
99	KRAKOW	7	2	2019	10:56	Rączna 43	domestic cat	5
100	KRAKOW	7	2	2019	12:52	Dożynkowa	roe deer	20
101	KRAKOW	7	2	2019	13:35	Fedkowicza	dog	30
102	KRAKOW	7	2	2019	13:52	hedgehogiorko 12	roe deer	20
103	KRAKOW	7	2	2019	14:48	hedgehogiorko 	dog	7
104	KRAKOW	7	2	2019	16:19	Dziekanowicka	roe deer	5
105	KRAKOW	7	2	2019	19:48	Łutnia	wild boar	80
106	KRAKOW	7	2	2019	22:30	Powstańców	domestic cat	2
107	KRAKOW	8	2	2019	7:10	Krzemieniecka 40	roe deer	35
108	KRAKOW	8	2	2019	13:43	Ks.Józefa	wild boar	11
109	KRAKOW	8	2	2019	14:17	Łutnia 57	roe deer	20
110	KRAKOW	8	2	2019	18:14	Lubocka 141	dog	4
111	KRAKOW	9	2	2019	9:19	Dożynkowa 81	roe deer	13
112	KRAKOW	9	2	2019	12:27	Golikówka	dog	10
113	KRAKOW	10	2	2019	13:15	Glinik 45	domestic cat	4
114	KRAKOW	11	2	2019	11:31	Ptaszyckiego	red fox	7
115	KRAKOW	12	2	2019	7:48	Pszczelna 13	domestic cat	
116	KRAKOW	12	2	2019	11:40	Ptaszyckiego 25	red fox	
117	KRAKOW	12	2	2019	18:19	Dożynkowa 81	roe deer	29
118	KRAKOW	12	2	2019	20:10	Raczkiewicza	wild boar	39
119	KRAKOW	13	2	2019	9:10	Krowoderska 74	domestic cat	5
120	KRAKOW	13	2	2019	18:32	Rączna/Półłanki	roe deer	30
121	KRAKOW	13	2	2019	19:06	Balicka	domestic cat	3
122	KRAKOW	14	2	2019	12:28	Warzewskiego 46	domestic cat	
123	KRAKOW	14	2	2019	13:33	Tamana Dąbiu/Bulwary	birds	3
124	KRAKOW	14	2	2019	14:06	Bazarowa 1	birds	7
125	KRAKOW	15	2	2019	15:08	Piasta Kołodzieja	domestic cat	5
126	KRAKOW	15	2	2019	20:16	Łokietka/Chabrowa	domestic cat	
127	KRAKOW	17	2	2019	19:13	Chaubińskiego 132	roe deer	15
128	KRAKOW	18	2	2019	7:53	Podbipięty 51	hare	4
129	KRAKOW	18	2	2019	15:15	Unruga 12A	birds	1
130	KRAKOW	18	2	2019	18:25	Niewodniczańskiego 122	roe deer	25
131	KRAKOW	18	2	2019	19:58	Igolomska	wild boar	70
132	KRAKOW	18	2	2019	21:24	Łokietka	roe deer	
133	KRAKOW	19	2	2019	6:05	Wadowicka	domestic cat	5
134	KRAKOW	19	2	2019	19:46	Ceipłownicza	roe deer	25
135	KRAKOW	20	2	2019	6:20	Pilotów2	domestic cat	
136	KRAKOW	20	2	2019	21:37	Ks.jozefa/Białe Wzgorze	domestic cat	2
137	KRAKOW	20	2	2019	23:58	Glogera 22	roe deer	25
138	KRAKOW	21	2	2019	9:34	Orla 14	domestic cat	5
139	KRAKOW	21	2	2019	12:50	Podole 	red fox	7
140	KRAKOW	21	2	2019	15:52	Na Zrębie	domestic cat	5
141	KRAKOW	22	2	2019	12:52	Ludwinowska	weasel	1
