day	month	2019	2020
01	01	3.3	2.6
02	01	1.8	0.4
03	01	-2	0.3
04	01	-2.9	3.8
05	01	0.2	1.3
06	01	-2.3	-0.3
07	01	-4.6	-1.3
08	01	-2.4	2.7
09	01	0.7	4.4
10	01	-2.2	4
11	01	-5.1	4.6
12	01	0	2.6
13	01	2.6	3.8
14	01	1.1	0
15	01	-0.6	0.9
16	01	2.9	0.8
17	01	3.4	-0.8
18	01	2.9	0.3
19	01	-2.3	2.3
20	01	-3.5	2.1
21	01	-5.9	1.7
22	01	-7.2	0.4
23	01	-4.9	0.6
24	01	-5.6	-1.1
25	01	-5	-1
26	01	-2.9	-0.9
27	01	1.5	-0.3
28	01	-0.2	1.1
29	01	0.4	3.4
30	01	0.1	3.6
31	01	1.1	6.1
01	02	0.7	10.1
02	02	7.3	8.4
03	02	4.9	6.2
04	02	1.5	4.5
05	02	0.9	1.4
06	02	0.6	0.1
07	02	-0.1	1.4
08	02	1.1	-0.5
09	02	1.7	1.8
10	02	4.4	7.2
11	02	4.7	5
12	02	2.1	3.2
13	02	2.1	3
14	02	5.6	4.2
15	02	6	4.4
16	02	5.5	4.6
17	02	5.2	8.9
18	02	5.1	7.6
19	02	4.8	5.1
20	02	6.2	3.3
21	02	6.6	2.7
22	02	0.4	4
23	02	-3.6	8.3
24	02	-0.2	4.8
25	02	5.3	7.1
26	02	7.4	6.1
27	02	3.9	2.6
28	02	7.7	1.9
29	02		3.7
01	03	5.2	6.9
02	03	1.2	6
03	03	6	7
04	03	12.2	5.3
05	03	7.7	3.3
06	03	6.3	4.2
07	03	8.7	5.3
08	03	10.7	4.3
09	03	7.4	3.1
10	03	6.6	5.9
11	03	3.7	9.4
12	03	2.9	11.5
13	03	4.1	8.6
14	03	5.9	4.3
15	03	6.4	1.4
16	03	7.8	4.2
17	03	12.4	7.9
18	03	7.7	11
19	03	3.9	10.6
20	03	3.4	11.4
21	03	5.2	5.1
22	03	9.3	-0.1
23	03	9.3	-0.1
24	03	9.7	0.3
25	03	6.4	1.7
26	03	5.7	5.6
27	03	4.3	8
28	03	5.8	8.1
29	03	6.6	7.6
30	03	8.8	1.7
31	03	10.5	0.7
01	04	7.7	2.1
02	04	7.5	4.8
03	04	10.3	6.5
04	04	11.8	6.5
05	04	13.8	6.8
06	04	10.4	9.6
07	04	9.9	11.1
08	04	10.4	11.8
09	04	12.7	12.8
10	04	7.8	11.2
11	04	5.1	8.9
12	04	2.9	11.2
13	04	4.2	12.2
14	04	8.2	5.3
15	04	6.7	7.6
16	04	7	13.2
17	04	9.9	11.4
18	04	10.8	9.2
19	04	11.9	8.5
20	04	12.1	7.7
21	04	11.2	8.1
22	04	11.7	9.3
23	04	12.6	11.6
24	04	14.7	13.3
25	04	18.2	12.5
26	04	19.3	10.1
27	04	15.3	11.3
28	04	10.4	14.5
29	04	10.1	15.1
30	04	11.6	14.6
01	05	12.4	12.3
02	05	14.8	11.9
03	05	11.2	9.8
04	05	11.2	10.8
05	05	7.1	9.5
06	05	8.1	6.7
07	05	9.6	9.3
08	05	10.1	12.6
09	05	9.3	14.9
10	05	12.2	18.9
11	05	15.2	20.3
12	05	13.4	9.1
13	05	8.1	7.5
14	05	6.1	8.1
15	05	8.9	6.9
16	05	13	11.4
17	05	15.1	12.6
18	05	16.7	15
19	05	16	17.2
20	05	18.3	13.9
21	05	15.5	11.8
22	05	14.1	11.3
23	05	12.6	13.1
24	05	12.3	12.7
25	05	15.7	11.2
26	05	18.5	12.3
27	05	19.4	14.1
28	05	18.5	14
29	05	14.5	14
30	05	11.4	10.8
31	05	16	10.8
01	06	17.4	14.8
02	06	19.7	13.9
03	06	20.6	14.2
04	06	21.4	16.2
05	06	21.4	17
06	06	21.2	19.3
07	06	22.6	19.2
08	06	22.7	16
09	06	20.7	15
10	06	24.4	17.1
11	06	25.3	18.7
12	06	25.5	21.7
13	06	26.1	24.1
14	06	24.9	19.9
15	06	27.2	17.9
16	06	23.8	17
17	06	20.4	19.3
18	06	20.5	20.1
19	06	22.9	19.1
20	06	23.3	18.2
21	06	22.3	18.3
22	06	21.2	18.2
23	06	21.7	19.2
24	06	21.9	16.8
25	06	25	19.5
26	06	27.9	21.2
27	06	26	22.4
28	06	19.1	24
29	06	21.3	21.5
30	06	26	20.9
