DATA	HOUR	Czarnowiejska - al. Słowackiego - al. Mickiewicza	Piłsudskiego - Focha - al. Mickiewicza	Czarnowiejska - al. Kijowska - Nawojki	Armii Krajowej - Piastowska - Nawojki	Mogilska KWP	R. Mogilskie	al. Jana Pawła II - Klasztorna - Ptaszyckiego - Bulwarowa	R. Grzegórzeckie	Wielicka - Limanowskiego - al. Powstańców Śląskich - al. Powstańców Wielkopolskich	Zakopiańska - Brożka - Tischnera - Wadowicka	R. Grunwaldzkie	Grota-Roweckiego - Kobierzyńska	Grota-Roweckiego - Kapelanka - Brożka - Lipińskiego	Kapelanka - Kobierzyńska	Monte-Cassino Kapelanka - Zielińsigo - Nowaczyńskiego	Most Zwierzyniecki	Wielicka - Nowosądecka	Tischnera - Turowicza	Wybickiego - Bratysławska - Doktora Twardego
01/01/19	0:00:00	1549	1645	959	645	789	1174	213	1192	1306	797	1444	447	344	455	608	421	718	617	430
01/01/19	1:00:00	1612	1783	1030	652	815	1296	244	1148	1355	827	1534	520	365	499	674	477	972	539	423
01/01/19	2:00:00	2098	2328	1447	816	1329	1478	293	1491	1491	1322	1951	764	553	730	1011	523	1344	912	537
01/01/19	3:00:00	2249	2533	1397	954	1317	1501	370	1489	1422	1346	2070	848	647	874	1019	480	1321	994	586
01/01/19	4:00:00	2145	2308	1307	874	1223	1382	285	1427	1290	1192	1867	824	540	751	975	483	1167	883	635
01/01/19	5:00:00	1760	1890	1011	621	1115	1233	284	1290	1153	1109	1668	746	454	686	834	338	945	772	551
01/01/19	6:00:00	1502	1604	1000	584	877	1026	327	979	1107	874	1390	583	408	537	702	319	902	609	620
01/01/19	7:00:00	1265	1302	785	501	757	952	259	890	869	750	1156	433	310	402	554	281	737	477	638
01/01/19	8:00:00	932	984	568	373	543	714	271	658	642	540	828	287	195	279	418	274	527	343	339
01/01/19	9:00:00	690	827	465	291	538	527	190	463	449	544	726	247	187	229	357	315	449	291	215
01/01/19	10:00:00	890	1107	542	372	586	652	233	596	593	596	964	288	198	290	452	427	571	365	288
01/01/19	11:00:00	1256	1548	769	541	927	923	363	842	878	943	1367	386	337	378	664	583	811	573	316
01/01/19	12:00:00	1900	2356	1012	816	1373	1353	487	1287	1142	1389	2052	577	506	603	1017	931	1176	814	381
01/01/19	13:00:00	2243	2746	1310	949	1755	1697	639	1570	1468	1796	2390	750	768	778	1207	1044	1542	1122	539
01/01/19	14:00:00	2659	3204	1585	1274	1974	2110	955	1975	1819	1972	2763	955	838	962	1321	1151	1965	1428	519
01/01/19	15:00:00	2955	3428	1767	1397	2319	2439	998	2347	2050	2311	3105	1114	996	1138	1495	1249	2179	1590	658
01/01/19	16:00:00	3196	3564	1879	1488	2341	2723	983	2615	2162	2316	3240	1226	1080	1187	1591	1279	2518	1707	801
01/01/19	17:00:00	3313	3800	1993	1571	2519	2934	1176	2820	2386	2558	3376	1333	1169	1330	1633	1145	2680	1957	1098
01/01/19	18:00:00	3302	3821	1982	1413	2462	2856	1259	2641	2358	2522	3314	1344	1140	1224	1604	1089	2612	1888	941
01/01/19	19:00:00	3168	3676	2011	1517	2592	2913	1140	2669	2495	2570	3183	1256	1271	1202	1488	960	2598	1906	980
01/01/19	20:00:00	3047	3295	1888	1429	2285	2550	938	2372	2217	2226	2915	1168	1063	1099	1450	880	2233	1662	751
01/01/19	21:00:00	2422	2759	1604	1146	1861	2014	703	1923	1702	1858	2406	893	845	843	1053	639	1828	1324	902
01/01/19	22:00:00	1798	2094	1203	814	1339	1669	542	1481	1405	1318	1835	728	582	628	819	425	1301	1028	795
01/01/19	23:00:00	1364	1495	899	623	955	1128	289	1025	911	942	1275	540	435	486	610	304	849	683	597
02/01/19	0:00:00	847	900	635	400	495	697	182	642	616	501	789	277	253	304	357	183	530	380	571
02/01/19	1:00:00	542	584	389	224	387	421	100	406	435	372	510	209	160	198	251	156	299	241	741
02/01/19	2:00:00	350	337	271	143	196	307	53	278	261	193	334	119	77	127	170	57	187	121	595
02/01/19	3:00:00	290	296	242	144	177	211	78	196	252	180	269	68	77	92	126	54	150	120	320
02/01/19	4:00:00	278	287	216	154	216	229	79	219	218	217	255	80	78	101	143	82	195	183	245
02/01/19	5:00:00	445	503	379	247	364	352	175	314	449	373	438	169	159	116	207	186	345	363	293
02/01/19	6:00:00	1350	1563	905	693	1303	1334	982	1210	1488	1331	1406	634	530	448	646	524	1432	1351	532
02/01/19	7:00:00	3301	3685	2034	1816	2989	3635	1760	3533	3344	2996	3796	1924	1581	1414	1792	1323	3251	3027	812
02/01/19	8:00:00	4725	5157	2718	2903	3995	5810	2197	5329	4689	4032	5098	2846	2831	2546	3001	2465	3821	3919	1180
02/01/19	9:00:00	4470	4991	2524	2643	4102	5404	1798	5141	4427	4082	4655	2829	2694	2446	2943	2271	3557	3543	1914
02/01/19	10:00:00	4175	4713	2448	2392	3648	4756	1516	4382	3881	3667	4096	2154	1987	2005	2378	1781	3244	3173	1458
02/01/19	11:00:00	3989	4572	2407	2291	3716	4732	1361	4455	3821	3688	4048	1894	1852	1896	2162	1698	3442	2924	1055
02/01/19	12:00:00	4181	4741	2414	2376	3774	4753	1476	4438	4010	3799	4080	1841	1766	1873	2142	1712	3378	3020	1010
02/01/19	13:00:00	4326	5077	2513	2509	3916	4835	1524	4669	4221	3887	4231	2082	1986	1984	2169	1741	3711	3201	1038
02/01/19	14:00:00	4495	5046	2620	2676	4076	5065	1660	4857	4383	4058	4440	2078	2206	2153	2444	1933	3937	3452	1136
02/01/19	15:00:00	4625	5090	2712	2891	4508	5625	2180	5222	4846	4532	4737	2338	2471	2456	2895	2214	4377	3887	1916
02/01/19	16:00:00	4217	4826	2726	3130	4816	6145	2479	5619	5276	4842	5027	2647	3162	2768	3667	2866	4868	4370	1646
02/01/19	17:00:00	4143	4805	2644	3048	4889	5903	2371	5627	5169	4807	4855	2824	3476	3160	3733	2896	4952	4398	1329
02/01/19	18:00:00	4280	4779	2738	2884	4764	5299	1744	5175	4856	4734	4689	2610	3282	2764	3105	2338	4314	4092	1324
02/01/19	19:00:00	4074	4452	2456	2557	4100	4430	1436	4363	3860	4051	3957	2238	2335	2105	2329	1578	3831	3314	1346
02/01/19	20:00:00	3588	4151	2266	2130	3570	3606	1163	3599	3353	3558	3524	1914	1811	1749	1988	1220	3236	2696	1251
02/01/19	21:00:00	3056	3355	1942	1723	2772	2940	870	3021	2572	2713	2974	1455	1365	1278	1442	901	2582	2001	1225
02/01/19	22:00:00	2461	2767	1503	1241	2065	2293	742	2290	2022	2078	2410	1113	1070	1022	1157	694	1932	1583	1133
02/01/19	23:00:00	1956	2164	1235	919	1449	1616	525	1518	1494	1432	1779	847	715	760	878	459	1331	1069	986
03/01/19	0:00:00	1217	1353	784	538	968	957	271	984	779	978	1170	531	437	517	500	327	732	607	923
03/01/19	1:00:00	783	811	523	300	556	585	120	581	575	552	730	259	203	258	316	155	408	331	688
03/01/19	2:00:00	488	483	356	209	304	345	80	352	311	319	453	185	135	172	199	61	221	192	380
03/01/19	3:00:00	366	398	266	151	281	293	98	272	281	284	372	118	83	117	148	63	180	167	696
03/01/19	4:00:00	329	351	294	184	278	303	132	268	308	277	332	97	81	93	130	99	208	212	480
03/01/19	5:00:00	474	552	390	267	387	392	261	368	485	393	454	190	165	135	215	175	388	376	448
03/01/19	6:00:00	1401	1712	900	742	1341	1337	990	1268	1566	1395	1465	632	534	469	693	515	1547	1426	933
03/01/19	7:00:00	3386	4037	2117	1960	2988	3827	1822	3668	3591	3063	3903	1917	1738	1497	1949	1501	3324	3176	1037
03/01/19	8:00:00	4747	5232	2652	2779	4003	5879	2263	5379	4892	4033	5160	3047	2997	2691	3163	2531	4046	4179	1280
03/01/19	9:00:00	4685	5266	2647	2893	4004	6006	1948	5467	4802	3986	4880	2978	2937	2653	3103	2445	3818	3917	1453
03/01/19	10:00:00	4447	5104	2411	2651	3930	5529	1620	5077	4541	3968	4720	2388	2387	2174	2748	2094	3528	3625	1396
03/01/19	11:00:00	4489	5055	2514	2526	3965	5382	1635	4955	4235	3957	4517	2147	2141	2105	2474	2020	3725	3306	1463
03/01/19	12:00:00	4428	5204	2644	2559	4020	5300	1604	5063	4667	4011	4482	2156	2167	2132	2376	1904	3872	3501	1458
03/01/19	13:00:00	4478	5074	2542	2549	4068	5285	1607	4872	4621	4055	4406	2177	2105	2273	2466	1860	3962	3525	1749
