Gmina	year	month	n
KRAKOW	2019	1	6
KRAKOW	2019	2	5
KRAKOW	2019	3	6
KRAKOW	2019	4	6
KRAKOW	2019	5	6
KRAKOW	2019	6	6
KRAKOW	2020	1	6
KRAKOW	2020	2	6
KRAKOW	2020	3	5
KRAKOW	2020	4	6
KRAKOW	2020	5	6
KRAKOW	2020	6	6
NIEPOLOMICE	2019	1	5
NIEPOLOMICE	2019	2	5
NIEPOLOMICE	2019	3	5
NIEPOLOMICE	2019	4	6
NIEPOLOMICE	2019	5	5
NIEPOLOMICE	2019	6	5
NIEPOLOMICE	2020	1	5
NIEPOLOMICE	2020	2	4
NIEPOLOMICE	2020	3	4
NIEPOLOMICE	2020	4	6
NIEPOLOMICE	2020	5	6
NIEPOLOMICE	2020	6	4
WIELICZKA	2019	1	4
WIELICZKA	2019	2	4
WIELICZKA	2019	3	5
WIELICZKA	2019	4	5
WIELICZKA	2019	5	5
WIELICZKA	2019	6	5
WIELICZKA	2020	1	4
WIELICZKA	2020	2	5
WIELICZKA	2020	3	6
WIELICZKA	2020	4	5
WIELICZKA	2020	5	5
WIELICZKA	2020	6	5
