Gmina	year	month	time_range	badger	beaver	birds	deer	dog	domestic.cat	goat	hare	hedgehog	horse	jackal	moose	racoon.dog	rat	red.deer	red.fox	roe.deer	squirrel	stone.marten	weasel	wild.boar	mds1	mds2	lockdown
1	KRAKOW	2019	1	0000_0400	0	0	0	0	0	0.00169204737732657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0113636363636364	-0.150580438633414	0.020706668683839	FALSE
2	KRAKOW	2019	1	0400_0800	0	0	0	0	0.0119047619047619	0.00846023688663283	0	0	0	0	0	0	0	0	0	0.0170940170940171	0.00579150579150579	0	0	0	0	-0.234583252595153	-0.328642588940326	FALSE
3	KRAKOW	2019	1	0800_1200	0	0	0.0118343195266272	0	0	0.0152284263959391	0	0	0	0	0	0	0	0	0	0	0.00579150579150579	0	0	0	0.0113636363636364	-0.200987379457013	-0.0928486688807346	FALSE
4	KRAKOW	2019	1	1200_1600	0	0	0.0118343195266272	0	0.0119047619047619	0.0050761421319797	0	0	0	0	0	0	0	0	0	0.00854700854700855	0.00193050193050193	0	0	0	0.0227272727272727	-0.314807605132138	-0.135093230730935	FALSE
5	KRAKOW	2019	1	1600_2000	0	0	0.00591715976331361	0	0.0238095238095238	0.00846023688663283	0	0	0	0	0	0	0	0	0	0.0170940170940171	0.00386100386100386	0	0	0	0.0113636363636364	-0.324061935001019	-0.165660766159104	FALSE
6	KRAKOW	2019	1	2000_0000	0	0	0.0118343195266272	0	0.0119047619047619	0.00338409475465313	0	0.0285714285714286	0	0	0	0	0	0	0	0.00854700854700855	0.00193050193050193	0	0	0	0	-0.274594774179783	-0.067631569069174	FALSE
7	KRAKOW	2019	2	0400_0800	0	0	0	0	0.0119047619047619	0.0101522842639594	0	0.0285714285714286	0	0	0	0	0	0	0	0.00854700854700855	0.00193050193050193	0	0	0	0	-0.274082680591668	-0.0978533038344177	FALSE
8	KRAKOW	2019	2	0800_1200	0	0	0	0	0.0238095238095238	0.0135363790186125	0	0	0	0	0	0	0	0	0	0.0256410256410256	0.00579150579150579	0	0	0	0.0113636363636364	-0.315345157419088	-0.129964770749958	FALSE
9	KRAKOW	2019	2	1200_1600	0	0	0.0177514792899408	0	0.0357142857142857	0.0135363790186125	0	0	0	0	0	0	0	0	0	0.0170940170940171	0.00579150579150579	0	0	1	0.0113636363636364	-0.109511130019059	0.165624018852564	FALSE
10	KRAKOW	2019	2	1600_2000	0	0	0.00591715976331361	0	0.0119047619047619	0.00846023688663283	0	0	0	0	0	0	0	0	0	0.00854700854700855	0.0154440154440154	0	0	0	0.0454545454545455	-0.304067656458405	-0.0973432430036131	FALSE
