term	contrast	null.value	estimate	conf.low	conf.high	adj.p.value	FDR	significance
1	Gmina:lockdown	NIEPOLOMICE:FALSE-KRAKOW:FALSE	0	-14.3310463121784	-18.0828584749415	-10.5792341494153	4.9960036108132e-14	5.63715740753423e-13	TRUE
2	Gmina:lockdown	WIELICZKA:FALSE-KRAKOW:FALSE	0	-12.2466307277628	-16.0469380245083	-8.44632343101731	7.51620987671231e-14	5.63715740753423e-13	TRUE
3	Gmina:lockdown	NIEPOLOMICE:TRUE-KRAKOW:FALSE	0	-13.6037735849057	-18.8511970393148	-8.35635013049655	4.93530771805695e-11	1.85074039427136e-10	TRUE
4	Gmina:lockdown	WIELICZKA:TRUE-KRAKOW:FALSE	0	-13.3537735849057	-18.6011970393148	-8.10635013049655	1.09104281165173e-10	3.2731284349552e-10	TRUE
5	Gmina:lockdown	KRAKOW:TRUE-NIEPOLOMICE:FALSE	0	14.6096256684492	9.3563086283953	19.8629427085031	2.06124006751907e-12	1.03062003375953e-11	TRUE
6	Gmina:lockdown	KRAKOW:TRUE-WIELICZKA:FALSE	0	12.5252100840336	7.23714985665715	17.8132703114101	1.92198246207198e-09	4.80495615517995e-09	TRUE
7	Gmina:lockdown	NIEPOLOMICE:TRUE-KRAKOW:TRUE	0	-13.8823529411765	-20.2899030446518	-7.47480283770115	4.45967267559411e-08	9.55644144770166e-08	TRUE
8	Gmina:lockdown	WIELICZKA:TRUE-KRAKOW:TRUE	0	-13.6323529411765	-20.0399030446518	-7.22480283770115	8.02760631302135e-08	1.5051761836915e-07	TRUE
9	Gmina:lockdown	KRAKOW:TRUE-KRAKOW:FALSE	0	0.278579356270804	-4.84892593736767	5.40608464990928	0.999986773599912	0.999997639071195	FALSE
10	Gmina:lockdown	WIELICZKA:FALSE-NIEPOLOMICE:FALSE	0	2.08441558441558	-1.88400537822523	6.0528365470564	0.65644445680176	0.999997639071195	FALSE
11	Gmina:lockdown	NIEPOLOMICE:TRUE-NIEPOLOMICE:FALSE	0	0.727272727272727	-4.64315391284749	6.09769936739294	0.998816299671539	0.999997639071195	FALSE
12	Gmina:lockdown	WIELICZKA:TRUE-NIEPOLOMICE:FALSE	0	0.977272727272727	-4.39315391284749	6.34769936739294	0.995158813946336	0.999997639071195	FALSE
13	Gmina:lockdown	NIEPOLOMICE:TRUE-WIELICZKA:FALSE	0	-1.35714285714286	-6.76155987861271	4.047274164327	0.978883659316367	0.999997639071195	FALSE
14	Gmina:lockdown	WIELICZKA:TRUE-WIELICZKA:FALSE	0	-1.10714285714286	-6.51155987861271	4.297274164327	0.99159719844981	0.999997639071195	FALSE
15	Gmina:lockdown	WIELICZKA:TRUE-NIEPOLOMICE:TRUE	0	0.25	-6.25390964744583	6.75390964744583	0.999997639071195	0.999997639071195	FALSE
