A_location	A_lockdown	B_location	B_lockdown	FDR	A_time	B_time	significance
KRAKOW	FALSE	KRAKOW	FALSE	0.0447854032759693	0400_0800	0000_0400	TRUE
KRAKOW	FALSE	KRAKOW	FALSE	0.015615962984384	0800_1200	0000_0400	TRUE
KRAKOW	TRUE	KRAKOW	FALSE	0.0395604395604396	0800_1200	0000_0400	TRUE
WIELICZKA	FALSE	KRAKOW	FALSE	0.0228233305156382	0800_1200	0000_0400	TRUE
KRAKOW	FALSE	KRAKOW	FALSE	0.015615962984384	1200_1600	0000_0400	TRUE
KRAKOW	TRUE	KRAKOW	FALSE	0.0273879966187658	1200_1600	0000_0400	TRUE
KRAKOW	FALSE	KRAKOW	FALSE	0.0228233305156382	1600_2000	0000_0400	TRUE
NIEPOLOMICE	FALSE	KRAKOW	FALSE	0.015615962984384	0400_0800	0400_0800	TRUE
WIELICZKA	FALSE	KRAKOW	FALSE	0.015615962984384	0400_0800	0400_0800	TRUE
NIEPOLOMICE	TRUE	KRAKOW	FALSE	0.0395604395604396	0800_1200	0400_0800	TRUE
NIEPOLOMICE	FALSE	KRAKOW	FALSE	0.015615962984384	1200_1600	0400_0800	TRUE
NIEPOLOMICE	FALSE	KRAKOW	FALSE	0.0273879966187658	1600_2000	0400_0800	TRUE
NIEPOLOMICE	TRUE	KRAKOW	FALSE	0.0273879966187658	1600_2000	0400_0800	TRUE
WIELICZKA	TRUE	KRAKOW	FALSE	0.0395604395604396	1600_2000	0400_0800	TRUE
NIEPOLOMICE	FALSE	KRAKOW	FALSE	0.0228233305156382	2000_0000	0400_0800	TRUE
NIEPOLOMICE	TRUE	KRAKOW	FALSE	0.0423861852433281	2000_0000	0400_0800	TRUE
WIELICZKA	FALSE	KRAKOW	FALSE	0.015615962984384	2000_0000	0400_0800	TRUE
WIELICZKA	TRUE	KRAKOW	FALSE	0.0395604395604396	2000_0000	0400_0800	TRUE
WIELICZKA	FALSE	KRAKOW	TRUE	0.0489968746849481	0400_0800	0400_0800	TRUE
NIEPOLOMICE	FALSE	KRAKOW	TRUE	0.0334313573750194	1200_1600	0400_0800	TRUE
NIEPOLOMICE	FALSE	KRAKOW	TRUE	0.0447854032759693	2000_0000	0400_0800	TRUE
KRAKOW	FALSE	NIEPOLOMICE	FALSE	0.015615962984384	0800_1200	0400_0800	TRUE
KRAKOW	TRUE	NIEPOLOMICE	FALSE	0.0423861852433281	0800_1200	0400_0800	TRUE
WIELICZKA	FALSE	NIEPOLOMICE	FALSE	0.015615962984384	0800_1200	0400_0800	TRUE
KRAKOW	FALSE	NIEPOLOMICE	FALSE	0.015615962984384	1200_1600	0400_0800	TRUE
KRAKOW	TRUE	NIEPOLOMICE	FALSE	0.0385328956757528	1200_1600	0400_0800	TRUE
KRAKOW	FALSE	NIEPOLOMICE	FALSE	0.015615962984384	1600_2000	0400_0800	TRUE
KRAKOW	TRUE	NIEPOLOMICE	FALSE	0.0395604395604396	1600_2000	0400_0800	TRUE
KRAKOW	FALSE	NIEPOLOMICE	FALSE	0.015615962984384	2000_0000	0400_0800	TRUE
KRAKOW	FALSE	WIELICZKA	FALSE	0.015615962984384	0800_1200	0400_0800	TRUE
KRAKOW	TRUE	WIELICZKA	FALSE	0.0385328956757528	0800_1200	0400_0800	TRUE
WIELICZKA	FALSE	WIELICZKA	FALSE	0.015615962984384	0800_1200	0400_0800	TRUE
WIELICZKA	TRUE	WIELICZKA	FALSE	0.0447854032759693	0800_1200	0400_0800	TRUE
KRAKOW	FALSE	WIELICZKA	FALSE	0.015615962984384	1200_1600	0400_0800	TRUE
WIELICZKA	FALSE	WIELICZKA	FALSE	0.0273879966187658	1200_1600	0400_0800	TRUE
KRAKOW	FALSE	WIELICZKA	FALSE	0.015615962984384	1600_2000	0400_0800	TRUE
KRAKOW	TRUE	WIELICZKA	FALSE	0.0395604395604396	1600_2000	0400_0800	TRUE
NIEPOLOMICE	FALSE	WIELICZKA	FALSE	0.0228233305156382	1600_2000	0400_0800	TRUE
WIELICZKA	FALSE	WIELICZKA	FALSE	0.0395604395604396	1600_2000	0400_0800	TRUE
KRAKOW	FALSE	WIELICZKA	FALSE	0.015615962984384	2000_0000	0400_0800	TRUE
KRAKOW	FALSE	WIELICZKA	TRUE	0.0395604395604396	0800_1200	0400_0800	TRUE
NIEPOLOMICE	FALSE	KRAKOW	FALSE	0.015615962984384	0800_1200	0800_1200	TRUE
NIEPOLOMICE	TRUE	KRAKOW	FALSE	0.0385328956757528	0800_1200	0800_1200	TRUE
WIELICZKA	FALSE	KRAKOW	FALSE	0.015615962984384	0800_1200	0800_1200	TRUE
WIELICZKA	TRUE	KRAKOW	FALSE	0.0395604395604396	0800_1200	0800_1200	TRUE
NIEPOLOMICE	FALSE	KRAKOW	FALSE	0.015615962984384	1200_1600	0800_1200	TRUE
NIEPOLOMICE	TRUE	KRAKOW	FALSE	0.0228233305156382	1200_1600	0800_1200	TRUE
WIELICZKA	FALSE	KRAKOW	FALSE	0.015615962984384	1200_1600	0800_1200	TRUE
WIELICZKA	TRUE	KRAKOW	FALSE	0.0447854032759693	1200_1600	0800_1200	TRUE
NIEPOLOMICE	FALSE	KRAKOW	FALSE	0.015615962984384	1600_2000	0800_1200	TRUE
NIEPOLOMICE	TRUE	KRAKOW	FALSE	0.0228233305156382	1600_2000	0800_1200	TRUE
WIELICZKA	FALSE	KRAKOW	FALSE	0.015615962984384	1600_2000	0800_1200	TRUE
WIELICZKA	TRUE	KRAKOW	FALSE	0.0273879966187658	1600_2000	0800_1200	TRUE
KRAKOW	FALSE	KRAKOW	FALSE	0.0395604395604396	2000_0000	0800_1200	TRUE
NIEPOLOMICE	FALSE	KRAKOW	FALSE	0.015615962984384	2000_0000	0800_1200	TRUE
NIEPOLOMICE	TRUE	KRAKOW	FALSE	0.0447854032759693	2000_0000	0800_1200	TRUE
WIELICZKA	FALSE	KRAKOW	FALSE	0.015615962984384	2000_0000	0800_1200	TRUE
WIELICZKA	TRUE	KRAKOW	FALSE	0.0423861852433281	2000_0000	0800_1200	TRUE
NIEPOLOMICE	FALSE	KRAKOW	TRUE	0.015615962984384	1200_1600	0800_1200	TRUE
NIEPOLOMICE	FALSE	KRAKOW	TRUE	0.0273879966187658	2000_0000	0800_1200	TRUE
WIELICZKA	FALSE	KRAKOW	TRUE	0.0489968746849481	2000_0000	0800_1200	TRUE
KRAKOW	FALSE	NIEPOLOMICE	FALSE	0.015615962984384	1200_1600	0800_1200	TRUE
KRAKOW	FALSE	NIEPOLOMICE	FALSE	0.0423861852433281	1600_2000	0800_1200	TRUE
NIEPOLOMICE	FALSE	NIEPOLOMICE	FALSE	0.0334313573750194	2000_0000	0800_1200	TRUE
