term	A_lockdown	A_region	B_lockdown	B_region	null.value	estimate	conf.low	conf.high	adj.p.value	animal	FDR	significance
1	lockdown:Gmina	FALSE	NIEPOLOMICE	FALSE	KRAKOW	0	-0.0174165457184325	-0.0291275551766465	-0.00570553626021857	0.00042221507107143	badger	0.0040302347693182	TRUE
2	lockdown:Gmina	FALSE	WIELICZKA	FALSE	KRAKOW	0	-0.0174165457184325	-0.0292789292188712	-0.00555416221799378	0.00052516858904883	badger	0.00456226793195594	TRUE
3	lockdown:Gmina	FALSE	NIEPOLOMICE	FALSE	KRAKOW	0	-0.00999725963441493	-0.0150110477031269	-0.00498347156570295	5.70566202950928e-07	birds	1.38252579945802e-05	TRUE
4	lockdown:Gmina	TRUE	NIEPOLOMICE	FALSE	KRAKOW	0	-0.0101317405381266	-0.017144210236988	-0.00311927083926516	0.000685061913377583	birds	0.00553319237728047	TRUE
5	lockdown:Gmina	FALSE	WIELICZKA	FALSE	KRAKOW	0	-0.00992041340372255	-0.0149990086412382	-0.00484181816620694	1.01822709897004e-06	birds	2.00463460109726e-05	TRUE
6	lockdown:Gmina	TRUE	WIELICZKA	FALSE	KRAKOW	0	-0.0105015630233337	-0.0175140327221951	-0.00348909332447226	0.000374427571147584	birds	0.00380466725520932	TRUE
7	lockdown:Gmina	FALSE	NIEPOLOMICE	TRUE	KRAKOW	0	-0.0102205486820871	-0.017240894358771	-0.0032002030054033	0.000604665698887841	birds	0.00501236039867552	TRUE
8	lockdown:Gmina	FALSE	WIELICZKA	TRUE	KRAKOW	0	-0.0101437024513948	-0.0172104776854524	-0.00307692721733707	0.00076156834495944	birds	0.00599735071655559	TRUE
9	lockdown:Gmina	TRUE	WIELICZKA	TRUE	KRAKOW	0	-0.0107248520710059	-0.0192876736795427	-0.00216203046246911	0.00527740588614189	birds	0.0346329761278062	TRUE
10	lockdown:Gmina	FALSE	NIEPOLOMICE	FALSE	KRAKOW	0	-0.010235440659969	-0.0145762008461987	-0.00589468047373924	2.27579033396097e-09	dog	1.39848780889018e-07	TRUE
11	lockdown:Gmina	TRUE	NIEPOLOMICE	FALSE	KRAKOW	0	-0.0121293800539084	-0.0182005280280149	-0.00605823207980185	5.39298165236346e-07	dog	1.38252579945802e-05	TRUE
