term	contrast	null.value	estimate	conf.low	conf.high	adj.p.value	animal	FDR	significance
1	Gmina	NIEPOLOMICE-KRAKOW	0	-0.0833333333333334	-0.138184657103285	-0.0284820095633821	0.00207055136730805	badger	0.0082822054692322	TRUE
2	Gmina	WIELICZKA-KRAKOW	0	-0.0833333333333334	-0.138184657103285	-0.0284820095633821	0.00207055136730794	badger	0.0082822054692322	TRUE
3	Gmina	NIEPOLOMICE-KRAKOW	0	-0.0602941176470588	-0.0831448302304841	-0.0374434050636336	7.95390523444794e-07	birds	6.68128039693627e-06	TRUE
4	Gmina	WIELICZKA-KRAKOW	0	-0.0607843137254902	-0.0836350263089155	-0.037933601142065	6.84260613059706e-07	birds	6.38643238855726e-06	TRUE
5	Gmina	NIEPOLOMICE-KRAKOW	0	-0.0575396825396825	-0.0731046461757062	-0.0419747189036589	6.70284494574958e-10	dog	9.3839829240494e-09	TRUE
6	Gmina	WIELICZKA-KRAKOW	0	-0.0525793650793651	-0.0681443287153887	-0.0370144014433414	5.19718712510553e-09	dog	5.45704648136081e-08	TRUE
7	Gmina	NIEPOLOMICE-KRAKOW	0	-0.0586993243243243	-0.0726221457883774	-0.0447765028602713	2.83573164949757e-11	domestic.cat	2.38201458557796e-09	TRUE
8	Gmina	WIELICZKA-KRAKOW	0	-0.0496903153153153	-0.0636131367793684	-0.0357674938512623	1.50918055830118e-09	domestic.cat	1.81101666996142e-08	TRUE
9	Gmina	NIEPOLOMICE-KRAKOW	0	-0.0571428571428572	-0.0858062217701241	-0.0284794925155902	7.74240075720467e-05	hare	0.000433574442403462	TRUE
10	Gmina	WIELICZKA-KRAKOW	0	-0.0380952380952381	-0.0667586027225051	-0.00943187346797115	0.00714699679950581	hare	0.0272885332344767	TRUE
11	Gmina	NIEPOLOMICE-KRAKOW	0	-0.0752688172043011	-0.119875208644954	-0.0306624257636478	0.000661365127050395	hedgehog	0.00292393003538069	TRUE
12	Gmina	WIELICZKA-KRAKOW	0	-0.0752688172043011	-0.119875208644954	-0.0306624257636478	0.000661365127050395	hedgehog	0.00292393003538069	TRUE
13	Gmina	NIEPOLOMICE-KRAKOW	0	-0.0833333333333333	-0.129588639103198	-0.0370780275634685	0.000299426392646907	rat	0.00147951864602001	TRUE
14	Gmina	WIELICZKA-KRAKOW	0	-0.0833333333333333	-0.129588639103198	-0.0370780275634685	0.000299426392646907	rat	0.00147951864602001	TRUE
15	Gmina	NIEPOLOMICE-KRAKOW	0	-0.0527065527065527	-0.0656145487460567	-0.0397985566670487	6.23189277959568e-11	red.fox	2.61739496743019e-09	TRUE
16	Gmina	WIELICZKA-KRAKOW	0	-0.0498575498575499	-0.0627655458970539	-0.0369495538180458	2.38382202866205e-10	red.fox	6.67470168025375e-09	TRUE
17	Gmina	NIEPOLOMICE-KRAKOW	0	-0.0253692999357739	-0.0363069631532783	-0.0144316367182696	7.61368338486612e-06	roe.deer	5.81408549389777e-05	TRUE
18	Gmina	WIELICZKA-KRAKOW	0	-0.0242453436095055	-0.0351830068270098	-0.0133076803920011	1.5830734289235e-05	roe.deer	0.000110815140024645	TRUE
19	Gmina	NIEPOLOMICE-KRAKOW	0	-0.0753968253968254	-0.113181605222791	-0.0376120455708598	7.64186077683027e-05	squirrel	0.000433574442403462	TRUE
20	Gmina	WIELICZKA-KRAKOW	0	-0.0793650793650794	-0.117149859191045	-0.0415802995391138	3.62322573080887e-05	squirrel	0.000234116124144573	TRUE
21	Gmina	NIEPOLOMICE-KRAKOW	0	-0.0606060606060606	-0.0768954557990487	-0.0443166654130725	5.76909298111161e-10	wild.boar	9.3839829240494e-09	TRUE
22	Gmina	WIELICZKA-KRAKOW	0	-0.0606060606060606	-0.0768954557990487	-0.0443166654130725	5.76909298111161e-10	wild.boar	9.3839829240494e-09	TRUE
23	group	lockdown-	0	-0.0256410256410256	-0.0685074078028315	0.0172253565207802	0.231973151879733	badger	0.671922233030951	FALSE
24	Gmina	WIELICZKA-NIEPOLOMICE	0	-6.93889390390723e-18	-0.0548513237699513	0.0548513237699512	1	badger	1	FALSE
25	group	lockdown-	0	-0.0205761316872428	-0.0778902150997546	0.0367379517252689	0.4699341217502	beaver	0.805601351571772	FALSE
26	Gmina	NIEPOLOMICE-KRAKOW	0	-0.037037037037037	-0.110375471196726	0.0363013971226522	0.438345669282588	beaver	0.795898382983691	FALSE
27	Gmina	WIELICZKA-KRAKOW	0	-0.0185185185185185	-0.0918569526782077	0.0548199156411707	0.810014823459183	beaver	1	FALSE
28	Gmina	WIELICZKA-NIEPOLOMICE	0	0.0185185185185185	-0.0548199156411707	0.0918569526782077	0.810014823459183	beaver	1	FALSE
29	group	lockdown-	0	-0.000435729847494563	-0.0182935919909657	0.0174221322959766	0.960669632976793	birds	1	FALSE
30	Gmina	WIELICZKA-NIEPOLOMICE	0	-0.000490196078431388	-0.0233409086618566	0.0223605165049939	0.998469136519158	birds	1	FALSE
31	group	lockdown-	0	-0.00740740740740741	-0.0931760089819315	0.0783611941671166	0.861465511314335	deer	1	FALSE
32	Gmina	NIEPOLOMICE-KRAKOW	0	-0.05	-0.159748504469125	0.059748504469125	0.509276692877357	deer	0.85558484403396	FALSE
33	Gmina	WIELICZKA-KRAKOW	0	-0.0666666666666667	-0.176415171135792	0.0430818378024583	0.307750797227277	deer	0.795898382983691	FALSE
34	Gmina	WIELICZKA-NIEPOLOMICE	0	-0.0166666666666667	-0.126415171135792	0.0930818378024583	0.926284887900296	deer	1	FALSE
35	group	lockdown-	0	-0.0141093474426808	-0.0262733871357741	-0.00194530774958744	0.0243881642168425	dog	0.0890698171397727	FALSE
